,title,author,rating,num_rating,num_review,page,year_published,publisher,summary,topic
103,seabiscuit: an american legend,Laura Hillenbrand,4.2,151486,4460,457.0,July 1st 2003,by Ballantine Books,"There's an alternate cover edition hereSeabiscuit was one of the most electrifying and popular attractions in sports history and the single biggest newsmaker in the world in 1938, receiving more coverage than FDR, Hitler, or Mussolini. But his success was a surprise to the racing establishment, which had written off the crooked-legged racehorse with the sad tail. Three men changed Seabiscuit’s fortunes:Charles Howard was a onetime bicycle repairman who introduced the automobile to the western United States and became an overnight millionaire. When he needed a trainer for his new racehorses, he hired Tom Smith, a mysterious mustang breaker from the Colorado plains. Smith urged Howard to buy Seabiscuit for a bargain-basement price, then hired as his jockey Red Pollard, a failed boxer who was blind in one eye, half-crippled, and prone to quoting passages from Ralph Waldo Emerson. Over four years, these unlikely partners survived a phenomenal run of bad fortune, conspiracy, and severe injury to transform Seabiscuit from a neurotic, pathologically indolent also-ran into an American sports icon. Author Laura Hillenbrand brilliantly re-creates a universal underdog story, one that proves life is a horse race.From the Hardcover edition.",race
104,nine parts of desire: the hidden world of islamic women,Geraldine Brooks,4.04,13031,1285,255.0,December 1st 1995,by Anchor,"With a New AfterwordAs a prizewinning foreign correspondent for The Wall Street Journal, Geraldine Brooks spent six years covering the Middle East through wars, insurrections, and the volcanic upheaval of resurgent fundamentalism. Yet for her, headline events were only the backdrop to a less obvious but more enduring drama: the daily life of Muslim women. Nine Parts of Desire is the story of Brooks' intrepid journey toward an understanding of the women behind the veils, and of the often contradictory political, religious, and cultural forces that shape their lives. Defying our stereotypes about the Muslim world, Brooks' acute analysis of the world's fastest growing religion deftly illustrates how Islam's holiest texts have been misused to justify repression of women, and how male pride and power have warped the original message of a once liberating faith.",gender
105,happiness power: how to unleash your power and live a more joyful life,Robert Gill Jr.,4.31,523,39,176.0,January 19th 2021,by Teaching Press,"How to stop chasing happiness and still live happily ever after.Do you have everything you need, but still feel like something’s missing?Do you frequently compare your life to others’, wondering why they seem to have it all?Do you feel like you’re just going after one high after the next, with no idea where the end goal is?You may have a life many people dream of, but sometimes, you can’t help but feel some form of discontent.It’s not that you’re ungrateful or unappreciative of what you have. It might just be that what you have is actually not what you need to feel fulfilled.And you’re not the only one going through this.Despite having one of the highest standards of living in the world, the level of happiness among Americans is at its lowest. In fact, it has been declining for the past 20 years.Social media, reliance on drugs, and the endless pursuit of wealth are just some of the reasons for this phenomenon. We are constantly bombarded with messages and images of how life should look like, and we try to reach this aspirational goal through any means necessary.We can chase it through traveling, buying expensive things, achieving career success, or even getting married and starting a family. But why do you still feel unsatisfied, even after you have all this?What is it that makes us truly happy?Plenty of scientific research has been done to find the answer to this question. There is also a lot of advice from self-help books and motivational speakers on being happy.Thankfully, you don’t have to go through all the studies and TED talks online to find the key to happiness.In The Happiness Power: How to Unleash Your Power and Live a Joyful Life, you will discover:- Why your present circumstances don’t have to determine your level of happiness, and how you can take your well-being into your own hands- The #1 factor that helps us live longer, healthier, and happier lives, according to a decades-long Harvard study on adult life- How to have a more positive mindset through this daily habit that Oprah Winfrey believes has rewarded her a million times over- How you can combat loneliness with these friendly suggestions on how to build and strengthen your social circle- The secret to happiness that the Japanese have known and practiced for centuries, contributing to their high levels of satisfaction and long life spans- Effortless mindfulness tricks to apply throughout the day that will help you get through stressful days and pessimistic emotions- The simple generous act that has the same positive effects as food and sex, offering satisfaction not only to you, but also to your recipientAnd much more.Although happiness is not the be-all and end-all of life, it sure doesn’t hurt to go through life being happy rather than dissatisfied and lonely.Our lives weren’t meant to be lived in constant pursuit of an abstract vision of happiness. Chasing after happiness will only make it so much harder to obtain.It is when you are focused on genuinely living a life of truth, purpose, and meaning, that happiness will come to you.Find out what it takes to live a life that’s true to your values and your innermost needs.",business
106,confessions of an economic hit man,John Perkins,3.86,33102,3511,303.0,December 27th 2005,by Plume,"From the author of the phenomenal New York Times bestseller, Confessions of an Economic Hit Man, comes an exposé of international corruption, and an inspired plan to turn the tide for future generationsWith a presidential election around the corner, questions of America's military buildup, environmental impact, and foreign policy are on everyone's mind. Former Economic Hit Man John Perkins goes behind the scenes of the current geopolitical crisis and offers bold solutions to our most pressing problems. Drawing on interviews with other EHMs, jackals, CIA operatives, reporters, businessmen, and activists, Perkins reveals the secret history of events that have created the current American Empire, including: How the defeats in Vietnam and Iraq have benefited big businessThe role of Israel as Fortress America in the Middle EastTragic repercussions of the IMF's Asian Economic CollapseThe current Latin American revolution and its lessons for democracyU.S. blunders in Tibet, Congo, Lebanon, and VenezuelaFrom the U.S. military in Iraq to infrastructure development in Indonesia, from Peace Corps volunteers in Africa to jackals in Venezuela, Perkins exposes a conspiracy of corruption that has fueled instability and anti-Americanism around the globe, with consequences reflected in our daily headlines. Having raised the alarm, Perkins passionately addresses how Americans can work to create a more peaceful and stable world for future generations. ",race
107,a moveable feast,Ernest Hemingway,4.03,123447,8321,192.0,September 6th 2012,by Vintage,"Hemingway's memories of his life as an unknown writer living in Paris in the twenties are deeply personal, warmly affectionate, and full of wit. Looking back not only at his own much younger self, but also at the other writers who shared Paris with him - James Joyce, Wyndham Lewis, Scott and Zelda Fitzgerald - he recalls the time when, poor, happy, and writing in cafes, he discovered his vocation. Written during the last years of Hemingway's life, his memoir is a lively and powerful reflection of his genius that scintillates with the romance of the city.",art
108,complications: a surgeon's notes on an imperfect science,Atul Gawande,4.25,41816,2616,270.0,April 1st 2003,by Picador USA,"In gripping accounts of true cases, surgeon Atul Gawande explores the power and the limits of medicine, offering an unflinching view from the scalpel's edge. Complications lays bare a science not in its idealized form but as it actually is--uncertain, perplexing, and profoundly human.Complications is a 2002 National Book Award Finalist for Nonfiction.",science
109,notes from a small island,Bill Bryson,3.91,98199,4383,324.0,May 28th 1997,by William Morrow Paperbacks,"""Suddenly, in the space of a moment, I realized what it was that I loved about Britain-which is to say, all of it.""After nearly two decades spent on British soil, Bill Bryson - bestselling author of The Mother Tongue and Made in America-decided to return to the United States. (""I had recently read,"" Bryson writes, ""that 3.7 million Americans believed that they had been abducted by aliens at one time or another, so it was clear that my people needed me."") But before departing, he set out on a grand farewell tour of the green and kindly island that had so long been his home.Veering from the ludicrous to the endearing and back again, Notes from a Small Island is a delightfully irreverent jaunt around the unparalleled floating nation that has produced zebra crossings, Shakespeare, Twiggie Winkie's Farm, and places with names like Farleigh Wallop and Titsey. The result is an uproarious social commentary that conveys the true glory of Britain, from the satiric pen of an unapologetic Anglophile.",race
110,"in the garden of beasts: love, terror, and an american family in hitler's berlin",Erik Larson,3.83,172168,14950,448.0,May 10th 2011,by Crown,"The time is 1933, the place, Berlin, when William E. Dodd becomes America's first ambassador to Hitler's Germany in a year that proved to be a turning point in history.A mild-mannered professor from Chicago, Dodd brings along his wife, son, and flamboyant daughter, Martha. At first Martha is entranced by the parties and pomp, and the handsome young men of the Third Reich with their infectious enthusiasm for restoring Germany to a position of world prominence. Enamored of the New Germany, she has one affair after another, including with the surprisingly honorable first chief of the Gestapo, Rudolf Diels. But as evidence of Jewish persecution mounts, confirmed by chilling first-person testimony, her father telegraphs his concerns to a largely indifferent State Department back home. Dodd watches with alarm as Jews are attacked, the press is censored, and drafts of frightening new laws begin to circulate. As that first year unfolds and the shadows deepen, the Dodds experience days full of excitement, intrigue, romance and ultimately, horror, when a climactic spasm of violence and murder reveals Hitler's true character and ruthless ambition.Suffused with the tense atmosphere of the period, and with unforgettable portraits of the bizarre Goring and the expectedly charming—yet wholly sinister—Goebbels, In the Garden of Beasts lends a stunning, eyewitness perspective on events as they unfold in real time, revealing an era of surprising nuance and complexity. The result is a dazzling, addictively readable work that speaks volumes about why the world did not recognize the grave threat posed by Hitler until Berlin, and Europe, were awash in blood and terror.",world war II
111,in a sunburned country,Bill Bryson,4.06,94032,5721,335.0,May 15th 2001,by Broadway Books,"A CLASSIC FROM THE NEW YORK TIMES BESTSELLING AUTHOR OF ONE SUMMER Every time Bill Bryson walks out the door, memorable travel literature threatens to break out. His previous excursion along the Appalachian Trail resulted in the sublime national bestseller A Walk in the Woods. In A Sunburned Country is his report on what he found in an entirely different place: Australia, the country that doubles as a continent, and a place with the friendliest inhabitants, the hottest, driest weather, and the most peculiar and lethal wildlife to be found on the planet. The result is a deliciously funny, fact-filled, and adventurous performance by a writer who combines humor, wonder, and unflagging curiousity.Despite the fact that Australia harbors more things that can kill you in extremely nasty ways than anywhere else, including sharks, crocodiles, snakes, even riptides and deserts, Bill Bryson adores the place, and he takes his readers on a rollicking ride far beyond that beaten tourist path. Wherever he goes he finds Australians who are cheerful, extroverted, and unfailingly obliging, and these beaming products of land with clean, safe cities, cold beer, and constant sunshine fill the pages of this wonderful book. Australia is an immense and fortunate land, and it has found in Bill Bryson its perfect guide.",biography
112,the lost city of z: a tale of deadly obsession in the amazon,David Grann,3.85,77888,6246,339.0,February 24th 2009,by Doubleday/Random House (NY),"A grand mystery reaching back centuries. A sensational disappearance that made headlines around the world. A quest for truth that leads to death, madness or disappearance for those who seek to solve it. The Lost City of Z is a blockbuster adventure narrative about what lies beneath the impenetrable jungle canopy of the Amazon.After stumbling upon a hidden trove of diaries, New Yorker writer David Grann set out to solve ""the greatest exploration mystery of the 20th century"": What happened to the British explorer Percy Fawcett & his quest for the Lost City of Z?In 1925, Fawcett ventured into the Amazon to find an ancient civilization, hoping to make one of the most important discoveries in history. For centuries Europeans believed the world's largest jungle concealed the glittering kingdom of El Dorado. Thousands had died looking for it, leaving many scientists convinced that the Amazon was truly inimical to humans. But Fawcett, whose daring expeditions inspired Conan Doyle's The Lost World, had spent years building his scientific case. Captivating the imagination of millions round the globe, Fawcett embarked with his 21-year-old son, determined to prove that this ancient civilisation--which he dubbed Z--existed. Then his expedition vanished. Fawcett's fate, & the tantalizing clues he left behind about Z, became an obsession for hundreds who followed him into the uncharted wilderness. For decades scientists & adventurers have searched for evidence of Fawcett's party & the lost City of Z. Countless have perished, been captured by tribes or gone mad. As Grann delved ever deeper into the mystery surrounding Fawcett's quest, & the greater mystery of what lies within the Amazon, he found himself, like the generations who preceded him, being irresistibly drawn into the jungle's green hell. His quest for the truth & discoveries about Fawcett's fate & Z form the heart of this complexly enthralling narrative.",science
113,salt: a world history,Mark Kurlansky,3.72,61499,3625,484.0,January 28th 2003,by Penguin Books,"From the Bestselling Author of Cod and The Basque History of the World.In his fifth work of nonfiction, Mark Kurlansky turns his attention to a common household item with a long and intriguing history: salt. The only rock we eat, salt has shaped civilization from the very beginning, and its story is a glittering, often surprising part of the history of humankind. A substance so valuable it served as currency, salt has influenced the establishment of trade routes and cities, provoked and financed wars, secured empires, and inspired revolutions.  Populated by colorful characters and filled with an unending series of fascinating details, Salt by Mark Kurlansky is a supremely entertaining, multi-layered masterpiece.Mark Kurlansky is the author of many books including Cod, The Basque History of the World, 1968, and The Big Oyster. His newest book is Birdseye.",world war II
114,when breath becomes air,Paul Kalanithi,4.36,447642,34968,208.0,January 19th 2016,by Random House,"For readers of Atul Gawande, Andrew Solomon, and Anne Lamott, a profoundly moving, exquisitely observed memoir by a young neurosurgeon faced with a terminal cancer diagnosis who attempts to answer the question 'What makes a life worth living?'At the age of thirty-six, on the verge of completing a decade's worth of training as a neurosurgeon, Paul Kalanithi was diagnosed with stage IV lung cancer. One day he was a doctor treating the dying, and the next he was a patient struggling to live. And just like that, the future he and his wife had imagined evaporated. When Breath Becomes Air chronicles Kalanithi's transformation from a naïve medical student ""possessed,"" as he wrote, ""by the question of what, given that all organisms die, makes a virtuous and meaningful life"" into a neurosurgeon at Stanford working in the brain, the most critical place for human identity, and finally into a patient and new father confronting his own mortality. What makes life worth living in the face of death? What do you do when the future, no longer a ladder toward your goals in life, flattens out into a perpetual present? What does it mean to have a child, to nurture a new life as another fades away? These are some of the questions Kalanithi wrestles with in this profoundly moving, exquisitely observed memoir. Paul Kalanithi died in March 2015, while working on this book, yet his words live on as a guide and a gift to us all. ""I began to realize that coming face to face with my own mortality, in a sense, had changed nothing and everything,"" he wrote. ""Seven words from Samuel Beckett began to repeat in my head: 'I can't go on. I'll go on.'"" When Breath Becomes Air is an unforgettable, life-affirming reflection on the challenge of facing death and on the relationship between doctor and patient, from a brilliant writer who became both.",health
115,"born to run: a hidden tribe, superathletes, and the greatest race the world has never seen",Christopher McDougall,4.29,175066,14419,287.0,May 5th 2009,by Knopf,"Full of incredible characters, amazing athletic achievements, cutting-edge science, and, most of all, pure inspiration, Born to Run is an epic adventure that began with one simple question: Why does my foot hurt? In search of an answer, Christopher McDougall sets off to find a tribe of the world’s greatest distance runners and learn their secrets, and in the process shows us that everything we thought we knew about running is wrong.Isolated by the most savage terrain in North America, the reclusive Tarahumara Indians of Mexico’s deadly Copper Canyons are custodians of a lost art. For centuries they have practiced techniques that allow them to run hundreds of miles without rest and chase down anything from a deer to an Olympic marathoner while enjoying every mile of it. Their superhuman talent is matched by uncanny health and serenity, leaving the Tarahumara immune to the diseases and strife that plague modern existence. With the help of Caballo Blanco, a mysterious loner who lives among the tribe, the author was able not only to uncover the secrets of the Tarahumara but also to find his own inner ultra-athlete, as he trained for the challenge of a lifetime: a fifty-mile race through the heart of Tarahumara country pitting the tribe against an odd band of Americans, including a star ultramarathoner, a beautiful young surfer, and a barefoot wonder.With a sharp wit and wild exuberance, McDougall takes us from the high-tech science labs at Harvard to the sun-baked valleys and freezing peaks across North America, where ever-growing numbers of ultrarunners are pushing their bodies to the limit, and, finally, to the climactic race in the Copper Canyons. Born to Run is that rare book that will not only engage your mind but inspire your body when you realize that the secret to happiness is right at your feet, and that you, indeed all of us, were born to run.",health
116,traveling mercies: some thoughts on faith,Anne Lamott,4.14,43895,2494,275.0,February 15th 2000,by Anchor,"Despite--or because of--her irreverence, faith is a natural subject for Anne Lamott. Since Operating Instructions and Bird by Bird, her fans have been waiting for her to write the book that explained how she came to the big-hearted, grateful, generous faith that she so often alluded to in her two earlier nonfiction books. The people in Anne Lamott's real life are like beloved characters in a favorite series for her readers: Her friend Pammy; her son, Sam; and the many funny and wise folks who attend her church are all familiar. And Traveling Mercies is a welcome return to those lives, as well as an introduction to new companions Lamott treats with the same candor, insight, and tenderness. Lamott's faith isn't about easy answers, which is part of what endears her to believers as well as nonbelievers. Against all odds, she came to believe in God, and then, even more miraculously, in herself. As she puts it, ""My coming to faith did not start with a leap but rather a series of staggers."" At once tough, personal, affectionate, wise, and very funny, Traveling Mercies tells in exuberant detail how Anne Lamott learned to shine the light of faith on the darkest part of ordinary life, exposing surprising pockets of meaning and hope.",religion
117,longitude: the true story of a lone genius who solved the greatest scientific problem of his time,Dava Sobel,3.94,63134,2819,192.0,October 1st 2005,by Walker Books,"Anyone alive in the eighteenth century would have known that ""the longitude problem"" was the thorniest scientific dilemma of the day—and had been for centuries. Lacking the ability to measure their longitude, sailors throughout the great ages of exploration had been literally lost at sea as soon as they lost sight of land. Thousands of lives, and the increasing fortunes of nations, hung on a resolution.The scientific establishment of Europe—from Galileo to Sir Issac Newton—had mapped the heavens in both hemispheres in its certain pursuit of a celestial answer. In stark contrast, one man, John Harrison, dared to imagine a mechanical solution—a clock that would keep precise time at sea, something no clock had ever been able to do on land. Longitude is a dramatic human story of an epic scientific quest and Harrison's forty-year obsession with building his perfect timekeeper, known today as the chronometer. Full of heroism and chicanery, it is also a fascinating brief history of astronomy, navigation, and clock-making, and opens a new window on our world.On its 10th anniversary, a gift edition of this classic book, with a forward by one of history's greatest explorers, and eight pages of color illustrations.",science
118,shot down: the true story of pilot howard snyder and the crew of the b-17 susan ruth,Steve Snyder,4.28,19160,111,376.0,August 15th 2014,by Sea Breeze Publishing LLC,"
Belgium ... February 8, 1944 ... Shot Down and Alive
For the first time, the full and complete story of the B-17 Flying Fortress Susan Ruth is shared in unbelievable detail. Author Steve Snyder’s story of his father, Lieutenant Howard Snyder, and the Susan Ruth crew, provides in-depth details about many aspects of World War II few understand or know about including the:• separation for young families as men went off to war;• training before heading to foreign soil;• military combat operations;• underground and resistance and what Lt. Snyder did when he joined it;• German atrocities toward captured crew and civilians;• behind-the-scenes stories of the Belgium civilians who risked all to save American flyers who were in the air one moment, spiraling down in flames the next;• creation and dedication of the monument to the Susan Ruth and its crew located in Macquenoise, Belgium in 1989.Shot Down was created from the vast number of letters and journals of Howard Snyder; diaries of men and women on the ground who rescued, sheltered and hid the crew; and interviews conducted by historians. Centered around the 306th Bomb Group in Thurleigh, England, it is informative, insightful and captivating.For most, 70 years is a long time ago. World War II fades in importance as each year goes by. Shot Down moves history out of the footnotes into reality, keeping the stories of real people alive as they experience being shot down. You are there, almost holding your breath as Lt. Snyder gets his crew out of his B-17 when bailing out over Nazi occupied Europe.",world war II
119,how to win friends and influence people,Dale Carnegie,4.21,664363,16528,288.0,October 1st 1998,by Gallery Books,"ISBN 9780671723651 moved to this edition.You can go after the job you want...and get it! You can take the job you have...and improve it! You can take any situation you're in...and make it work for you!Since its release in 1936, How to Win Friends and Influence People has sold more than 15 million copies. Dale Carnegie's first book is a timeless bestseller, packed with rock-solid advice that has carried thousands of now famous people up the ladder of success in their business and personal lives.As relevant as ever before, Dale Carnegie's principles endure, and will help you achieve your maximum potential in the complex and competitive modern age.Learn the six ways to make people like you, the twelve ways to win people to your way of thinking, and the nine ways to change people without arousing resentment.",business
120,don't know much about history: everything you need to know about american history but never learned,Kenneth C. Davis,3.87,8384,452,678.0,April 13th 2004,by Harper Perennial,"Who really discovered America? What was ""the shot heard 'round the world""? Thomas Jefferson and Sally Hemings: Did he or didn't he?From the arrival of Columbus through the bizarre election of 2000 and beyond, Davis carries readers on a rollicking ride through more than 500 years of American history. In this updated edition of the classic anti-textbook, he debunks, recounts, and serves up the real story behind the myths and fallacies of American history.",race
121,desert solitaire,Edward Abbey,4.21,41004,2703,337.0,January 12th 1985,by Ballantine Books,"First published in 1968, Desert Solitaire is one of Edward Abbey’s most critically acclaimed works and marks his first foray into the world of nonfiction writing. Written while Abbey was working as a ranger at Arches National Park outside of Moab, Utah, Desert Solitaire is a rare view of one man’s quest to experience nature in its purest form.Through prose that is by turns passionate and poetic, Abbey reflects on the condition of our remaining wilderness and the future of a civilization that cannot reconcile itself to living in the natural world as well as his own internal struggle with morality. As the world continues its rapid development, Abbey’s cry to maintain the natural beauty of the West remains just as relevant today as when this book was written.",art
122,savage inequalities: children in america's schools,Jonathan Kozol,4.25,17566,749,272.0,June 12th 1992,by Harper Perennial,"National Book Award-winning author Jonathan Kozol presents his shocking account of the American educational system in this stunning ""New York Times"" bestseller, which has sold more than 250,000 hardcover copies.""An impassioned book, laced with anger and indignation, about how our public education system scorns so many of our children."" -- New York Times Book Review",race
123,just kids,Patti Smith,4.15,191487,11397,304.0,January 19th 2010,by Ecco,"In Just Kids, Patti Smith's first book of prose, the legendary American artist offers a never-before-seen glimpse of her remarkable relationship with photographer Robert Mapplethorpe in the epochal days of New York City and the Chelsea Hotel in the late sixties and seventies. An honest and moving story of youth and friendship, Smith brings the same unique, lyrical quality to Just Kids as she has to the rest of her formidable body of work--from her influential 1975 album Horses to her visual art and poetry.",art
124,half the sky: turning oppression into opportunity for women worldwide,Nicholas D. Kristof,4.28,52255,5146,294.0,September 8th 2009,by Knopf Publishing Group,"From two of our most fiercely moral voices, a passionate call to arms against our era’s most pervasive human rights violation: the oppression of women and girls in the developing world.With Pulitzer Prize winners Nicholas D. Kristof and Sheryl WuDunn as our guides, we undertake an odyssey through Africa and Asia to meet the extraordinary women struggling there, among them a Cambodian teenager sold into sex slavery and an Ethiopian woman who suffered devastating injuries in childbirth. Drawing on the breadth of their combined reporting experience, Kristof and WuDunn depict our world with anger, sadness, clarity, and, ultimately, hope.They show how a little help can transform the lives of women and girls abroad. That Cambodian girl eventually escaped from her brothel and, with assistance from an aid group, built a thriving retail business that supports her family. The Ethiopian woman had her injuries repaired and in time became a surgeon. A Zimbabwean mother of five, counseled to return to school, earned her doctorate and became an expert on AIDS.Through these stories, Kristof and WuDunn help us see that the key to economic progress lies in unleashing women’s potential. They make clear how so many people have helped to do just that, and how we can each do our part. Throughout much of the world, the greatest unexploited economic resource is the female half of the population. Countries such as China have prospered precisely because they emancipated women and brought them into the formal economy. Unleashing that process globally is not only the right thing to do; it’s also the best strategy for fighting poverty.Deeply felt, pragmatic, and inspirational, Half the Sky is essential reading for every global citizen.",gender
125,"empire of the summer moon: quanah parker and the rise and fall of the comanches, the most powerful indian tribe in american history",S.C. Gwynne,4.18,36049,3616,371.0,May 25th 2010,by Scribner,"In the tradition of Bury My Heart at Wounded Knee, a stunningly vivid historical account of the forty-year battle between Comanche Indians and white settlers for control of the American West, centering on Quanah, the greatest Comanche chief of them all.S. C. Gwynne’s Empire of the Summer Moon spans two astonishing stories. The first traces the rise and fall of the Comanches, the most powerful Indian tribe in American history. The second entails one of the most remarkable narratives ever to come out of the Old West: the epic saga of the pioneer woman Cynthia Ann Parker and her mixed-blood son Quanah, who became the last and greatest chief of the Comanches. Although readers may be more familiar with the tribal names Apache and Sioux, it was in fact the legendary fighting ability of the Comanches that determined just how and when the American West opened up. Comanche boys became adept bareback riders by age six; full Comanche braves were considered the best horsemen who ever rode. They were so masterful at war and so skillful with their arrows and lances that they stopped the northern drive of colonial Spain from Mexico and halted the French expansion westward from Louisiana. White settlers arriving in Texas from the eastern United States were surprised to find the frontier being rolled backward by Comanches incensed by the invasion of their tribal lands. So effective were the Comanches that they forced the creation of the Texas Rangers and account for the advent of the new weapon specifically designed to fight them: the six-gun. The war with the Comanches lasted four decades, in effect holding up the development of the new American nation. Gwynne’s exhilarating account delivers a sweeping narrative that encompasses Spanish colonialism, the Civil War, the destruction of the buffalo herds, and the arrival of the railroads—a historical feast for anyone interested in how the United States came into being. Against this backdrop Gwynne presents the compelling drama of Cynthia Ann Parker, a lovely nine-year-old girl with cornflower-blue eyes who was kidnapped by Comanches from the far Texas frontier in 1836. She grew to love her captors and became infamous as the ""White Squaw"" who refused to return until her tragic capture by Texas Rangers in 1860. More famous still was her son Quanah, a warrior who was never defeated and whose guerrilla wars in the Texas Panhandle made him a legend. S. C. Gwynne’s account of these events is meticulously researched, intellectually provocative, and, above all, thrillingly told.",world war II
126,the story of my life,Helen Keller,4.07,136601,2604,240.0,May 1st 1990,by Bantam Classics,"When she was 19 months old, Helen Keller (1880–1968) suffered a severe illness that left her blind and deaf. Not long after, she also became mute. Her tenacious struggle to overcome these handicaps-with the help of her inspired teacher, Anne Sullivan-is one of the great stories of human courage and dedication. In this classic autobiography, first published in 1903, Miss Keller recounts the first 22 years of her life, including the magical moment at the water pump when, recognizing the connection between the word ""water"" and the cold liquid flowing over her hand, she realized that objects had names. Subsequent experiences were equally noteworthy: her joy at eventually learning to speak, her friendships with Oliver Wendell Holmes, Edward Everett Hale and other notables, her education at Radcliffe (from which she graduated cum laude), and-underlying all-her extraordinary relationship with Miss Sullivan, who showed a remarkable genius for communicating with her eager and quick-to-learn pupil.",biography
127,last chance to see,Douglas Adams,4.29,22313,1192,256.0,October 13th 1992,by Ballantine Books,"Join author Douglas Adams and zoologist Mark Carwardine as they take off around the world in search of exotic, endangered creatures.",world war II
128,becoming,Michelle Obama,4.52,662116,54574,426.0,November 13th 2018,by Crown,"In a life filled with meaning and accomplishment, Michelle Obama has emerged as one of the most iconic and compelling women of our era. As First Lady of the United States of America—the first African American to serve in that role—she helped create the most welcoming and inclusive White House in history, while also establishing herself as a powerful advocate for women and girls in the U.S. and around the world, dramatically changing the ways that families pursue healthier and more active lives, and standing with her husband as he led America through some of its most harrowing moments. Along the way, she showed us a few dance moves, crushed Carpool Karaoke, and raised two down-to-earth daughters under an unforgiving media glare.  In her memoir, a work of deep reflection and mesmerizing storytelling, Michelle Obama invites readers into her world, chronicling the experiences that have shaped her—from her childhood on the South Side of Chicago to her years as an executive balancing the demands of motherhood and work, to her time spent at the world’s most famous address. With unerring honesty and lively wit, she describes her triumphs and her disappointments, both public and private, telling her full story as she has lived it—in her own words and on her own terms. Warm, wise, and revelatory, Becoming is the deeply personal reckoning of a woman of soul and substance who has steadily defied expectations—and whose story inspires us to do the same.",gender
129,escape,Carolyn Jessop,3.94,40625,4632,413.0,October 16th 2007,by Broadway Books,"The dramatic first-person account of life inside an ultra-fundamentalist American religious sect, and one woman’s courageous flight to freedom with her eight children.When she was eighteen years old, Carolyn Jessop was coerced into an arranged marriage with a total stranger: a man thirty-two years her senior. Merril Jessop already had three wives. But arranged plural marriages were an integral part of Carolyn’s heritage: She was born into and raised in the Fundamentalist Church of Jesus Christ of Latter-Day Saints (FLDS), the radical offshoot of the Mormon Church that had settled in small communities along the Arizona-Utah border. Over the next fifteen years, Carolyn had eight children and withstood her husband’s psychological abuse and the watchful eyes of his other wives who were locked in a constant battle for supremacy.Carolyn’s every move was dictated by her husband’s whims. He decided where she lived and how her children would be treated. He controlled the money she earned as a school teacher. He chose when they had sex; Carolyn could only refuse—at her peril. For in the FLDS, a wife’s compliance with her husband determined how much status both she and her children held in the family. Carolyn was miserable for years and wanted out, but she knew that if she tried to leave and got caught, her children would be taken away from her. No woman in the country had ever escaped from the FLDS and managed to get her children out, too. But in 2003, Carolyn chose freedom over fear and fled her home with her eight children. She had $20 to her name.Escape exposes a world tantamount to a prison camp, created by religious fanatics who, in the name of God, deprive their followers the right to make choices, force women to be totally subservient to men, and brainwash children in church-run schools. Against this background, Carolyn Jessop’s flight takes on an extraordinary, inspiring power. Not only did she manage a daring escape from a brutal environment, she became the first woman ever granted full custody of her children in a contested suit involving the FLDS. And in 2006, her reports to the Utah attorney general on church abuses formed a crucial part of the case that led to the arrest of their notorious leader, Warren Jeffs.",family
130,assassination vacation,Sarah Vowell,3.92,45272,3848,258.0,2006,by Simon  Schuster,"Sarah Vowell exposes the glorious conundrums of American history and culture with wit, probity, and an irreverent sense of humor. With Assassination Vacation, she takes us on a road trip like no other—a journey to the pit stops of American political murder and through the myriad ways they have been used for fun and profit, for political and cultural advantage.From Buffalo to Alaska, Washington to the Dry Tortugas, Vowell visits locations immortalized and influenced by the spilling of politically important blood, reporting as she goes with her trademark blend of wisecracking humor, remarkable honesty, and thought-provoking criticism. We learn about the jinx that was Robert Todd Lincoln (present at the assassinations of Presidents Lincoln, Garfield, and McKinley) and witness the politicking that went into the making of the Lincoln Memorial. The resulting narrative is much more than an entertaining and informative travelogue—it is the disturbing and fascinating story of how American death has been manipulated by popular culture, including literature, architecture, sculpture, and—the author's favorite— historical tourism. Though the themes of loss and violence are explored and we make detours to see how the Republican Party became the Republican Party, there are all kinds of lighter diversions along the way into the lives of the three presidents and their assassins, including mummies, show tunes, mean-spirited totem poles, and a nineteenth-century biblical sex cult.",race
131,the perfect storm: a true story of men against the sea,Sebastian Junger,4.1,105441,1839,248.0,June 29th 2009,by W. W. Norton & Company,"""Takes readers into the maelstrom and shows nature's splendid and dangerous havoc at its utmost"".October 1991. It was ""the perfect storm""--a tempest that may happen only once in a century--a nor'easter created by so rare a combination of factors that it could not possibly have been worse. Creating waves ten stories high and winds of 120 miles an hour, the storm whipped the sea to inconceivable levels few people on Earth have ever witnessed. Few, except the six-man crew of the Andrea Gail, a commercial fishing boat tragically headed towards its hellish center.",biography
